gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2844650411	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/173195418	Animalia	Chordata	Mammalia	Carnivora	Phocidae	Pagophilus	Pagophilus groenlandicus		SPECIES	Pagophilus groenlandicus (Erxleben, 1777)	Pagophilus groenlandicus		GL	Greenland Sea		PRESENT	5	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	73.887184	-8.879168	25.0						2019-05-22T00:00:00	22	5	2019	2434801	2434801	HUMAN_OBSERVATION		Observations	OBS.173195418				CC_BY_NC_4_0	Stichting Observation International	User 5700			2023-04-18T13:14:13.517Z	StillImage	COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2844620152	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/139693761	Animalia	Chordata	Mammalia	Carnivora	Phocidae	Pagophilus	Pagophilus groenlandicus		SPECIES	Pagophilus groenlandicus (Erxleben, 1777)	Pagophilus groenlandicus		GL	Greenland Sea		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	73.64227	-8.990948	25.0						2017-06-04T00:00:00	4	6	2017	2434801	2434801	HUMAN_OBSERVATION		Observations	OBS.139693761				CC_BY_NC_4_0	Stichting Observation International	User 4078			2023-04-18T13:13:44.260Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2844617951	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/139330025	Animalia	Chordata	Mammalia	Carnivora	Phocidae	Pagophilus	Pagophilus groenlandicus		SPECIES	Pagophilus groenlandicus (Erxleben, 1777)	Pagophilus groenlandicus		GL	Greenland Sea		PRESENT	3	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	75.014311	-5.512532	25.0						2017-05-27T00:00:00	27	5	2017	2434801	2434801	HUMAN_OBSERVATION		Observations	OBS.139330025				CC_BY_NC_4_0	Stichting Observation International	User 4743			2023-04-18T13:13:47.453Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2844616371	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/140481304	Animalia	Chordata	Mammalia	Carnivora	Phocidae	Pagophilus	Pagophilus groenlandicus		SPECIES	Pagophilus groenlandicus (Erxleben, 1777)	Pagophilus groenlandicus		GL	Greenland Sea		PRESENT	6	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	74.358757	-8.96331	25.0						2017-06-04T00:00:00	4	6	2017	2434801	2434801	HUMAN_OBSERVATION		Observations	OBS.140481304				CC_BY_NC_4_0	Stichting Observation International	User 96538			2023-04-18T13:15:51.488Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2844612062	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/139577779	Animalia	Chordata	Mammalia	Carnivora	Phocidae	Pagophilus	Pagophilus groenlandicus		SPECIES	Pagophilus groenlandicus (Erxleben, 1777)	Pagophilus groenlandicus		GL	Greenland Sea		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	75.150689	-5.511279	25.0						2017-05-27T00:00:00	27	5	2017	2434801	2434801	HUMAN_OBSERVATION		Observations	OBS.139577779				CC_BY_NC_4_0	Stichting Observation International	User 70737			2023-04-18T13:15:38.880Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2844597270	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/172909482	Animalia	Chordata	Mammalia	Carnivora	Phocidae	Pagophilus	Pagophilus groenlandicus		SPECIES	Pagophilus groenlandicus (Erxleben, 1777)	Pagophilus groenlandicus		GL	Greenland Sea		PRESENT	4	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	75.3452	-10.017898	25.0						2019-05-22T00:00:00	22	5	2019	2434801	2434801	HUMAN_OBSERVATION		Observations	OBS.172909482				CC_BY_NC_4_0	Stichting Observation International	User 4078			2023-04-18T13:13:59.152Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2844541124	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/139771123	Animalia	Chordata	Mammalia	Carnivora	Phocidae	Pagophilus	Pagophilus groenlandicus		SPECIES	Pagophilus groenlandicus (Erxleben, 1777)	Pagophilus groenlandicus		GL	Greenland Sea		PRESENT	21	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	74.718723	-5.979195	25.0						2017-05-27T00:00:00	27	5	2017	2434801	2434801	HUMAN_OBSERVATION		Observations	OBS.139771123				CC_BY_NC_4_0	Stichting Observation International	User 12663			2023-04-18T13:13:42.557Z	StillImage	COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2844516715	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/173306024	Animalia	Chordata	Mammalia	Carnivora	Phocidae	Pagophilus	Pagophilus groenlandicus		SPECIES	Pagophilus groenlandicus (Erxleben, 1777)	Pagophilus groenlandicus		GL	Greenland Sea		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	73.892601	-8.882318	25.0						2019-05-22T00:00:00	22	5	2019	2434801	2434801	HUMAN_OBSERVATION		Observations	OBS.173306024				CC_BY_NC_4_0	Stichting Observation International	User 61708			2023-04-18T13:14:00.094Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2844444642	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/173060505	Animalia	Chordata	Mammalia	Carnivora	Phocidae	Pagophilus	Pagophilus groenlandicus		SPECIES	Pagophilus groenlandicus (Erxleben, 1777)	Pagophilus groenlandicus		GL	Greenland Sea		PRESENT	21	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	73.859529	-8.86332	10.0						2019-05-22T00:00:00	22	5	2019	2434801	2434801	HUMAN_OBSERVATION		Observations	OBS.173060505				CC_BY_NC_4_0	Stichting Observation International	User 1898			2023-04-18T13:14:10.535Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2844438822	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/173212847	Animalia	Chordata	Mammalia	Carnivora	Phocidae	Pagophilus	Pagophilus groenlandicus		SPECIES	Pagophilus groenlandicus (Erxleben, 1777)	Pagophilus groenlandicus		GL	Greenland Sea		PRESENT	3	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	75.05484	-9.543834	25.0						2019-05-22T00:00:00	22	5	2019	2434801	2434801	HUMAN_OBSERVATION		Observations	OBS.173212847				CC_BY_NC_4_0	Stichting Observation International	User 15070			2023-04-18T13:15:58.338Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
